,Title,Material List,Items Removed from the bin,Items that need to be Cleaned,Clearly missing items,Worked on by,Notes:
,,21 syringes,,,,,
107180,Variables,Teacher Guide and duplication masters,,,1 one-hole punch,,"contains extra sandpaper sheets (2), popsicle sticks (50), corks (5), flipper bases (5), flipper angle bases (4), plane hooks (2), plane propellers (3), and rubber stoppers (7)"
,,4 basins,,,cardboard strips,Gideon,
,,3 fabric measuring tapes,,,masking tape,,
,,60 jumbo paper clips,,,duct tape,,
,,100 regular paper clips,,,9 one-liter ziploc bage,,"items that don't belong in the variables kit at all: 6 wooden dowels, 1 ruler, 7 large washers, lots of small washers"
,,250 pennies,,,20 super jumbo straws,,
,,1 Sharpie,,,30 jumbo straws,,
,,10 paper cups,,,90 small paper cups,,
,,1 roll fishing line,,,,,
,,50 rubber bands,,,,,
,,4 sheets sandpaper,,,,,
,,150 popsicle sticks,,,,,
,,smaller pieces of popsicle stick,,,,,
,,20 jumbo straws,,,,,
,,30 super jumbo straws,,,,,
,,1 roll string,,,,,
,,1 roll twine,,,,,
,,1 roll thin rope,,,,,
,,15 corks,,,,,
,,13 flipper bases,,,,,
,,12 flipper angle braces,,,,,
,,1 hole punch,,,,,
,,18 plane hooks,,,,,
,,19 plane propellers,,,,,
,,15 rubber stoppers,,,,,
,,8 sponges,,,,,
,,11 one-liter ziploc bags,,,,,
115401,Build It! Festival,"3 Bags of Wooden Pattern Blocks (1 Large, 2 Small)",Stickers,,,James,Pattern Blocks are tangrams
,,7 Bags of Small Plastic Pattern Blocks,Construction Paper,,,,
,,1 Jar of Pattern Blocks,Old handouts,,,,
,,2 Bags of Large Foam Pattern Blocks,Bag of expo markers,,,,
,,1 Bag of Square Polydrons,,,,,
,,1 Bag of Pentagon Polydrons,,,,,
,,1 Bag of Traingle Polydrons,,,,,
,,1 Set of 15 Flexible Small Mirrors,,,,,
,,2 Large Plastic Cylinder Containers (Clear),,,,,
,,8 Plastic Containers (Non-Clear),,,,,
,,8 Plastic Containers (Clear),,,,,
,,1 Folder of Pattern Block Designs,,,,,
,,"Cardstock Masters ""Fill A Shape""",,,,,
,,"Cardstock Masters ""What Comes Next""",,,,,
,,Cardstock Tesellations ,,,,,
,,1 Bag of Green/Black Yarn,,,,,
,,1 Bag of Ziploc Bags and Clear Sheet Protectors,,,,,
,,1 Teacher's Guide,,,,,
,,1 What Comes Next Handout Set,,,,,
106963,Variables,11 Angle Braces,,,Scissors,Jay,
,,11 Flipper Bases,,,Masking Tape,,
,,1 Pack of Duplication Master Sheets,,,Stopwatch,,
,,4 bags popsicle sticks,,,Paper Cups,,
,,2 spools fishing line,,,Sponge,,
,,3 hole punchers,,,Basin,,
,,1 bag of ziplock bags,,,Syringe,,
,,Foil,,,Graduated Cylinder,,
,,1 bag of measuring tapes,,,1/2 liter container,,
,,5 bags string and paper clips,,,Paper Towels,,
,,1 bag of washers,,,Hooks,,
,,3 rolls duct tape,,,Staplers,,
,,Bag of sandpaper,,,,,
,,Bag of corks,,,,,
,,2 Bags of rubber stoppers,,,,,
,,Bag of coins,,,,,
,,Bag of rubber bands,,,,,
,,5 Giant Binder Clips,,,,,
,,2 Bags of cut popsicle sticks,,,,,
,,1 bag of round dowels,,,,,
,,1 bag of string,,,,,
,,5 9oz cups,,,,,
,,1 box small binder clips,,,,,
,,Plastic Sliders?,,,,,
,,Straws,,,,,
,,Propeller Parts,,,,,
,,3-5mm String,,,,,
106958,Earth Materials,1 Bag of Evaporating Dishes,Box of Ziploc Bags,,,James,
,,25 Clear Plastic Cups,Bag of rusty nails,,,,
,,4 Bag of Small Plastic Cylinders (w/ lids),Sticky Notes,,,,
,,2 Bag of Calcite ,Mock Rocks,,,,
,,1 Bag of Limestone Gray,,,,,
,,1 Bag of Fluorite (1 sample),,,,,
,,1 Bag of Metamorphic Rocks (Schist),,,,,
,,2 Bags of Basalt ,,,,,
,,1 Bag of Metamorphic Rocks (3 rocks),,,,,
,,1 Bag of Mica/Feldspar/Tile Ceramic/Marble,,,,,
,,1 Bag of Feldspar (1 sample),,,,,
,,2 Bags of Granite (Multiple Samples),,,,,
,,2 Bags of Gypsum (2 ct. each),,,,,
,,1 Bag of Misc. Rocks,,,,,
,,1 Bag of Pink Feldspar (1 sample),,,,,
,,2 Bags of White Marble ,,,,,
,,1 Bag of Sandstone (Multiple Samples),,,,,
,,1 Bag of Hornblende (4 rocks),,,,,
,,2 Bag of Hand Lenses (24 ct. and 12 ct.),,,,,
,,1 Plastic Funnel,,,,,
,,2 Jars of Sand,,,,,
,,3 Bags of Shell Pieces,,,,,
,,1 Bag of Plastic Pipettes (7),,,,,
,,6 Plastic Trays,,,,,
,,2 Plastic Jars (w/ lids),,,,,
,,3 Plastic Droppers,,,,,
,,"1 Bag of Hand Lenses (w/ mult. lenses, 3 ct.)",,,,,
106965,Write It. Do It.,25 bags of manipulatables,,,,,
,,2 bags of extra manipulatables,,,,,
,,5 extra manipulatiable trays,,,,,
,,3 extra ziplock bags,,,,,
,,11 wooden dowels,,,,,
,,15 C Clamps,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
